season_start,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2019,74,Terrence Ross\rosste01,SG,28,ORL,63,0,27.3,5.0,12.3,.407,2.6,7.2,.357,2.4,5.1,.477,.511,2.2,2.6,.845,0.2,3.0,3.2,1.2,1.1,0.3,1.0,1.5,14.8
2019,75,Harrison Barnes\barneha02,PF,27,SAC,64,64,34.9,5.1,11.1,.459,1.5,3.8,.383,3.6,7.3,.498,.524,3.1,3.8,.803,1.0,3.8,4.8,2.4,0.6,0.2,1.3,1.3,14.7
2019,76,Lauri Markkanen\markkla01,PF,22,CHI,50,50,29.8,5.0,11.8,.425,2.2,6.3,.344,2.8,5.5,.518,.517,2.5,3.1,.824,1.2,5.1,6.3,1.5,0.8,0.5,1.6,1.9,14.7
2019,77,Bogdan Bogdanović\bogdabo01,SG,27,SAC,53,20,28.5,5.2,12.1,.433,2.6,7.2,.361,2.6,4.9,.541,.541,1.4,2.0,.724,0.3,2.9,3.2,3.2,1.0,0.3,1.7,2.2,14.5
2019,78,Aaron Gordon\gordoaa01,PF,24,ORL,58,58,33.0,5.4,12.5,.433,1.2,3.9,.301,4.2,8.6,.492,.479,2.4,3.5,.675,1.8,5.8,7.6,3.7,0.9,0.6,1.6,2.0,14.4
2019,79,RJ Barrett\barrerj01,SG,19,NYK,56,55,30.4,5.2,13.0,.402,1.1,3.5,.320,4.1,9.5,.432,.445,2.8,4.5,.614,0.9,4.1,5.0,2.6,1.0,0.3,2.2,2.2,14.3
2019,80,Eric Paschall\pascher01,PF,23,GSW,60,26,27.6,5.3,10.7,.497,0.6,2.2,.287,4.7,8.5,.550,.526,2.7,3.5,.774,1.4,3.2,4.6,2.1,0.5,0.2,1.6,2.1,14.0
2019,81,Joe Harris\harrijo01,SF,28,BRK,63,63,30.9,5.3,11.2,.471,2.4,5.9,.412,2.9,5.3,.536,.579,1.0,1.3,.747,1.0,3.4,4.3,2.1,0.6,0.3,1.5,2.2,13.9
2019,82,Josh Richardson\richajo01,SG,26,PHI,48,46,30.7,5.1,12.0,.429,1.5,4.5,.327,3.7,7.5,.489,.490,2.1,2.7,.789,0.8,2.6,3.4,3.1,0.9,0.7,1.9,2.5,13.8
2019,83,Marcus Smart\smartma01,SG,25,BOS,53,39,32.5,4.5,11.9,.380,2.4,6.9,.348,2.1,5.0,.424,.481,2.0,2.4,.835,0.8,3.1,3.8,4.8,1.6,0.5,1.7,2.7,13.5
2019,84,Duncan Robinson\robindu01,SF,25,MIA,65,60,30.0,4.4,9.4,.467,3.7,8.4,.448,0.7,1.1,.614,.665,0.7,0.8,.906,0.1,3.1,3.3,1.4,0.5,0.2,0.9,2.8,13.3
2019,85,Coby White\whiteco01,SG,19,CHI,65,1,25.8,4.8,12.2,.394,2.0,5.8,.354,2.8,6.4,.430,.478,1.6,2.0,.791,0.4,3.1,3.5,2.7,0.8,0.1,1.7,1.8,13.2
2019,86,Ricky Rubio\rubiori01,PG,29,PHO,57,57,31.6,4.4,10.7,.412,1.2,3.3,.351,3.3,7.4,.440,.466,3.1,3.6,.853,0.7,3.9,4.6,8.9,1.5,0.2,2.7,2.5,13.1
2019,87,Christian Wood\woodch01,PF,24,DET,62,12,21.4,4.6,8.2,.567,0.9,2.3,.386,3.8,5.9,.636,.620,2.9,3.9,.744,1.7,4.6,6.3,1.0,0.5,0.9,1.4,1.6,13.1
2019,88,Miles Bridges\bridgmi02,SF,21,CHO,65,64,30.7,4.9,11.6,.424,1.5,4.6,.330,3.4,7.0,.486,.489,1.6,2.0,.809,1.4,4.2,5.6,1.8,0.6,0.7,1.5,2.0,13.0
2019,89,Tyler Herro\herroty01,SG,20,MIA,47,6,27.2,4.7,11.3,.414,2.1,5.4,.391,2.6,5.9,.434,.507,1.4,1.7,.835,0.3,3.7,4.0,1.9,0.6,0.1,1.5,1.3,12.9
2019,90,Robert Covington\covinro01,PF,29,TOT,62,60,30.1,4.5,10.5,.432,2.4,6.8,.349,2.1,3.6,.589,.546,1.4,1.7,.796,0.9,5.5,6.4,1.2,1.5,1.3,1.5,3.2,12.8
2019,91,Damion Lee\leeda03,SG,27,GSW,49,36,29.0,4.3,10.4,.417,1.7,4.9,.356,2.6,5.6,.471,.500,2.2,2.6,.873,0.7,4.2,4.9,2.7,1.0,0.1,1.4,2.4,12.7
2019,92,Seth Curry\curryse01,SG,29,DAL,59,20,24.5,4.5,9.0,.500,2.3,5.1,.453,2.2,3.9,.560,.628,1.3,1.5,.841,0.4,1.9,2.4,2.0,0.6,0.1,1.0,1.7,12.6
2019,93,Kyle Kuzma\kuzmaky01,PF,24,LAL,54,7,24.6,4.7,10.9,.432,1.3,4.4,.297,3.4,6.5,.523,.491,1.8,2.4,.738,0.9,3.6,4.5,1.3,0.4,0.4,1.6,2.0,12.5
2019,94,Jeremy Lamb\lambje01,SG,27,IND,46,42,28.1,4.7,10.4,.451,1.2,3.4,.335,3.5,7.0,.508,.506,2.0,2.4,.836,0.5,3.8,4.3,2.1,1.2,0.5,1.1,2.3,12.5
2019,95,Lonzo Ball\balllo01,PG,22,NOP,56,47,32.4,4.6,11.2,.412,2.5,6.5,.383,2.1,4.7,.453,.523,0.7,1.2,.567,1.1,5.1,6.2,7.0,1.4,0.5,3.1,2.0,12.4
2019,96,Darius Garland\garlada01,PG,20,CLE,59,59,30.9,4.7,11.8,.401,1.8,5.0,.355,3.0,6.8,.434,.476,1.1,1.2,.875,0.5,1.4,1.9,3.9,0.7,0.1,2.6,1.6,12.3
2019,97,De'Andre Hunter\huntede01,SF,22,ATL,63,62,32.0,4.4,10.8,.410,1.7,4.8,.355,2.7,6.0,.454,.489,1.7,2.3,.764,0.7,3.8,4.5,1.8,0.7,0.3,1.6,2.9,12.3
2019,98,Kevin Huerter\huertke01,SG,21,ATL,56,48,31.4,4.5,10.9,.413,2.3,6.0,.380,2.2,4.9,.453,.517,0.9,1.1,.828,0.6,3.4,4.1,3.8,0.9,0.5,1.6,2.5,12.2
2019,99,P.J. Washington\washipj01,PF,21,CHO,58,57,30.3,4.6,10.2,.455,1.5,4.0,.374,3.1,6.2,.507,.528,1.5,2.3,.647,1.0,4.4,5.4,2.1,0.9,0.8,1.6,2.7,12.2
2019,100,Markelle Fultz\fultzma01,PG,21,ORL,64,59,28.3,5.0,10.6,.473,0.5,1.8,.254,4.5,8.7,.520,.496,1.6,2.2,.723,0.5,2.8,3.3,5.2,1.3,0.2,2.0,2.0,12.1
